threshold,precision,recall,f1,specificity,balanced_accuracy,tp,fp,tn,fn,cost_per_tx
0.4314,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9999120709060214,0.9081193007591332,80,5,56859,18,0.0064077806256802785
0.4412,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9999120709060214,0.9081193007591332,80,5,56859,18,0.0064077806256802785
0.451,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9999120709060214,0.9081193007591332,80,5,56859,18,0.0064077806256802785
0.4608,0.9404761904761905,0.8061224489795918,0.8681318681318682,0.9999120709060214,0.9030172599428066,79,5,56859,19,0.006758891892840842
0.4706,0.9512195121951219,0.7959183673469388,0.8666666666666667,0.9999296567248172,0.897924012035878,78,4,56860,20,0.007092447596643376
0.4804,0.9512195121951219,0.7959183673469388,0.8666666666666667,0.9999296567248172,0.897924012035878,78,4,56860,20,0.007092447596643376
0.49019999999999997,0.9506172839506173,0.7857142857142857,0.8603351955307262,0.9999296567248172,0.8928219712195514,77,4,56860,21,0.007443558863803939
0.5,0.9506172839506173,0.7857142857142857,0.8603351955307262,0.9999296567248172,0.8928219712195514,77,4,56860,21,0.007443558863803939
0.5097999999999999,0.9506172839506173,0.7857142857142857,0.8603351955307262,0.9999296567248172,0.8928219712195514,77,4,56860,21,0.007443558863803939
0.5196,0.9620253164556962,0.7755102040816326,0.8587570621468926,0.9999472425436128,0.8877287233126228,76,3,56861,22,0.007777114567606475
0.5294,0.961038961038961,0.7551020408163265,0.8457142857142858,0.9999472425436128,0.8775246416799696,74,3,56861,24,0.0084793371019276
0.5392,0.9733333333333334,0.7448979591836735,0.8439306358381503,0.9999648283624085,0.872431393773041,73,2,56862,25,0.008812892805730136
0.549,0.9733333333333334,0.7448979591836735,0.8439306358381503,0.9999648283624085,0.872431393773041,73,2,56862,25,0.008812892805730136
0.5588,0.972972972972973,0.7346938775510204,0.8372093023255814,0.9999648283624085,0.8673293529567145,72,2,56862,26,0.009164004072890699
0.5686,0.972972972972973,0.7346938775510204,0.8372093023255814,0.9999648283624085,0.8673293529567145,72,2,56862,26,0.009164004072890699
0.5784,0.972972972972973,0.7346938775510204,0.8372093023255814,0.9999648283624085,0.8673293529567145,72,2,56862,26,0.009164004072890699
0.5882,0.972972972972973,0.7346938775510204,0.8372093023255814,0.9999648283624085,0.8673293529567145,72,2,56862,26,0.009164004072890699
0.598,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6078,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6176,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6274,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6372,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.647,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6567999999999999,0.9722222222222222,0.7142857142857143,0.8235294117647058,0.9999648283624085,0.8571252713240614,70,2,56862,28,0.009866226607211825
0.6666,0.971830985915493,0.7040816326530612,0.8165680473372781,0.9999648283624085,0.8520232305077349,69,2,56862,29,0.010217337874372389
0.6764,0.9710144927536232,0.6836734693877551,0.8023952095808383,0.9999648283624085,0.8418191488750818,67,2,56862,31,0.010919560408693515
0.6862,0.9710144927536232,0.6836734693877551,0.8023952095808383,0.9999648283624085,0.8418191488750818,67,2,56862,31,0.010919560408693515
0.696,0.9705882352941176,0.673469387755102,0.7951807228915663,0.9999648283624085,0.8367171080587552,66,2,56862,32,0.011270671675854079
0.7058,0.9705882352941176,0.673469387755102,0.7951807228915663,0.9999648283624085,0.8367171080587552,66,2,56862,32,0.011270671675854079
0.7156,0.9701492537313433,0.6632653061224489,0.7878787878787878,0.9999648283624085,0.8316150672424287,65,2,56862,33,0.011621782943014641
0.7253999999999999,0.9701492537313433,0.6632653061224489,0.7878787878787878,0.9999648283624085,0.8316150672424287,65,2,56862,33,0.011621782943014641
0.7352,0.9701492537313433,0.6632653061224489,0.7878787878787878,0.9999648283624085,0.8316150672424287,65,2,56862,33,0.011621782943014641
0.745,0.9701492537313433,0.6632653061224489,0.7878787878787878,0.9999648283624085,0.8316150672424287,65,2,56862,33,0.011621782943014641
0.7548,0.9696969696969697,0.6530612244897959,0.7804878048780488,0.9999648283624085,0.8265130264261022,64,2,56862,34,0.011972894210175205
0.7646,0.9696969696969697,0.6530612244897959,0.7804878048780488,0.9999648283624085,0.8265130264261022,64,2,56862,34,0.011972894210175205
0.7744,0.9696969696969697,0.6530612244897959,0.7804878048780488,0.9999648283624085,0.8265130264261022,64,2,56862,34,0.011972894210175205
0.7842,0.96875,0.6326530612244898,0.7654320987654321,0.9999648283624085,0.8163089447934492,62,2,56862,36,0.012675116744496331
0.794,0.967741935483871,0.6122448979591837,0.75,0.9999648283624085,0.8061048631607961,60,2,56862,38,0.013377339278817457
0.8038,0.967741935483871,0.6122448979591837,0.75,0.9999648283624085,0.8061048631607961,60,2,56862,38,0.013377339278817457
0.8136,0.967741935483871,0.6122448979591837,0.75,0.9999648283624085,0.8061048631607961,60,2,56862,38,0.013377339278817457
0.8234,0.967741935483871,0.6122448979591837,0.75,0.9999648283624085,0.8061048631607961,60,2,56862,38,0.013377339278817457
0.8331999999999999,0.9672131147540983,0.6020408163265306,0.7421383647798742,0.9999648283624085,0.8010028223444696,59,2,56862,39,0.013728450545978021
0.843,0.9661016949152542,0.5816326530612245,0.7261146496815286,0.9999648283624085,0.7907987407118164,57,2,56862,41,0.014430673080299147
0.8528,0.9818181818181818,0.5510204081632653,0.7058823529411765,0.9999824141812043,0.7755014111722347,54,1,56863,44,0.015466451318422808
0.8626,0.9811320754716981,0.5306122448979592,0.6887417218543046,0.9999824141812043,0.7652973295395817,52,1,56863,46,0.016168673852743936
0.8724,0.98,0.5,0.6621621621621622,0.9999824141812043,0.7499912070906021,49,1,56863,49,0.017222007654225623
0.8822,0.9795918367346939,0.4897959183673469,0.6530612244897959,0.9999824141812043,0.7448891662742756,48,1,56863,50,0.017573118921386188
0.892,0.9782608695652174,0.45918367346938777,0.625,0.9999824141812043,0.729583043825296,45,1,56863,53,0.01862645272286788
0.9017999999999999,0.9782608695652174,0.45918367346938777,0.625,0.9999824141812043,0.729583043825296,45,1,56863,53,0.01862645272286788
0.9116,0.9777777777777777,0.4489795918367347,0.6153846153846154,0.9999824141812043,0.7244810030089694,44,1,56863,54,0.01897756399002844
0.9214,0.9743589743589743,0.3877551020408163,0.5547445255474452,0.9999824141812043,0.6938687581110103,38,1,56863,60,0.02108423159299182
0.9312,1.0,0.3469387755102041,0.5151515151515151,1.0,0.673469387755102,34,0,56864,64,0.022471121098276044
0.941,1.0,0.30612244897959184,0.46875,1.0,0.653061224489796,30,0,56864,68,0.023875566166918296
0.9508,1.0,0.2857142857142857,0.4444444444444444,1.0,0.6428571428571428,28,0,56864,70,0.024577788701239424
0.9606,1.0,0.25510204081632654,0.4065040650406504,1.0,0.6275510204081632,25,0,56864,73,0.025631122502721114
0.9703999999999999,1.0,0.21428571428571427,0.35294117647058826,1.0,0.6071428571428571,21,0,56864,77,0.027035567571363366
0.9802,1.0,0.16326530612244897,0.2807017543859649,1.0,0.5816326530612245,16,0,56864,82,0.02879112390716618
0.99,1.0,0.16326530612244897,0.2807017543859649,1.0,0.5816326530612245,16,0,56864,82,0.02879112390716618
